packet,timestamp,sensor,cog,err
1,0.5629444122314453,sensor_01,001000000001100100,0
1,0.5629444122314453,sensor_02,100110001011010110,0
1,0.5629444122314453,sensor_03,001101001111111010,0
1,0.5629444122314453,sensor_04,011010011110100100,0
1,0.5629444122314453,sensor_05,000000000000000000,1
1,0.5629444122314453,sensor_06,000000000000000000,1
1,0.5629444122314453,sensor_07,000000000000000000,1
1,0.5629444122314453,sensor_08,000000000000000000,1
2,0.5879444479942322,sensor_01,100100011100000111,0
2,0.5879444479942322,sensor_02,011001001100000101,0
2,0.5879444479942322,sensor_03,100001101010010000,0
2,0.5879444479942322,sensor_04,101000001100111111,0
2,0.5879444479942322,sensor_05,000000000000000000,1
2,0.5879444479942322,sensor_06,000000000000000000,1
2,0.5879444479942322,sensor_07,000000000000000000,1
2,0.5879444479942322,sensor_08,000000000000000000,1
3,0.6129444241523743,sensor_01,110110010111011111,0
3,0.6129444241523743,sensor_02,010100101100001010,0
3,0.6129444241523743,sensor_03,111000100100011001,0
3,0.6129444241523743,sensor_04,101101111000110000,0
3,0.6129444241523743,sensor_05,000000000000000000,1
3,0.6129444241523743,sensor_06,000000000000000000,1
3,0.6129444241523743,sensor_07,000000000000000000,1
3,0.6129444241523743,sensor_08,000000000000000000,1
4,0.6379444599151611,sensor_01,011010001101110010,0
4,0.6379444599151611,sensor_02,010001101101011010,0
4,0.6379444599151611,sensor_03,011000101110000010,0
4,0.6379444599151611,sensor_04,010100011100110001,0
4,0.6379444599151611,sensor_05,000000000000000000,1
4,0.6379444599151611,sensor_06,000000000000000000,1
4,0.6379444599151611,sensor_07,000000000000000000,1
4,0.6379444599151611,sensor_08,000000000000000000,1
5,0.6629444360733032,sensor_01,101000111100001000,0
5,0.6629444360733032,sensor_02,001100111110000101,0
5,0.6629444360733032,sensor_03,000111111001100010,0
5,0.6629444360733032,sensor_04,100100011101111011,0
5,0.6629444360733032,sensor_05,000000000000000000,1
5,0.6629444360733032,sensor_06,000000000000000000,1
5,0.6629444360733032,sensor_07,000000000000000000,1
5,0.6629444360733032,sensor_08,000000000000000000,1
6,0.6879444122314453,sensor_01,111001011111110001,0
6,0.6879444122314453,sensor_02,101000010100001100,0
6,0.6879444122314453,sensor_03,000100110111110101,0
6,0.6879444122314453,sensor_04,100000100010110110,0
6,0.6879444122314453,sensor_05,000000000000000000,1
6,0.6879444122314453,sensor_06,000000000000000000,1
6,0.6879444122314453,sensor_07,000000000000000000,1
6,0.6879444122314453,sensor_08,000000000000000000,1
7,0.7129444479942322,sensor_01,111001111100010111,0
7,0.7129444479942322,sensor_02,000110001001001000,0
7,0.7129444479942322,sensor_03,000111000000101001,0
7,0.7129444479942322,sensor_04,111111010111011001,0
7,0.7129444479942322,sensor_05,000000000000000000,1
7,0.7129444479942322,sensor_06,000000000000000000,1
7,0.7129444479942322,sensor_07,000000000000000000,1
7,0.7129444479942322,sensor_08,000000000000000000,1
8,0.7379444241523743,sensor_01,010101010010100011,0
8,0.7379444241523743,sensor_02,100001000111101011,0
8,0.7379444241523743,sensor_03,101010001100101000,0
8,0.7379444241523743,sensor_04,101011100100000001,0
8,0.7379444241523743,sensor_05,000000000000000000,1
8,0.7379444241523743,sensor_06,000000000000000000,1
8,0.7379444241523743,sensor_07,000000000000000000,1
8,0.7379444241523743,sensor_08,000000000000000000,1
9,0.7629444599151611,sensor_01,000000001000011011,0
9,0.7629444599151611,sensor_02,001010100111110000,0
9,0.7629444599151611,sensor_03,001101011111011010,0
9,0.7629444599151611,sensor_04,100111010111010101,0
9,0.7629444599151611,sensor_05,000000000000000000,1
9,0.7629444599151611,sensor_06,000000000000000000,1
9,0.7629444599151611,sensor_07,000000000000000000,1
9,0.7629444599151611,sensor_08,000000000000000000,1
10,0.7879444360733032,sensor_01,011101000001011000,0
10,0.7879444360733032,sensor_02,111010010100001111,0
10,0.7879444360733032,sensor_03,001011111110000010,0
10,0.7879444360733032,sensor_04,110010011010111011,0
10,0.7879444360733032,sensor_05,000000000000000000,1
10,0.7879444360733032,sensor_06,000000000000000000,1
10,0.7879444360733032,sensor_07,000000000000000000,1
10,0.7879444360733032,sensor_08,000000000000000000,1
11,0.8129444122314453,sensor_01,011111011011100110,0
11,0.8129444122314453,sensor_02,111000010111010010,0
11,0.8129444122314453,sensor_03,101110000001000000,0
11,0.8129444122314453,sensor_04,001110001111010011,0
11,0.8129444122314453,sensor_05,000000000000000000,1
11,0.8129444122314453,sensor_06,000000000000000000,1
11,0.8129444122314453,sensor_07,000000000000000000,1
11,0.8129444122314453,sensor_08,000000000000000000,1
12,0.8379444479942322,sensor_01,110000010000010010,0
12,0.8379444479942322,sensor_02,010101101101101000,0
12,0.8379444479942322,sensor_03,010100100100101100,0
12,0.8379444479942322,sensor_04,001010110000101101,0
12,0.8379444479942322,sensor_05,000000000000000000,1
12,0.8379444479942322,sensor_06,000000000000000000,1
12,0.8379444479942322,sensor_07,000000000000000000,1
12,0.8379444479942322,sensor_08,000000000000000000,1
13,0.8629444241523743,sensor_01,000111011011101000,0
13,0.8629444241523743,sensor_02,100100001011111111,0
13,0.8629444241523743,sensor_03,111011110101100000,0
13,0.8629444241523743,sensor_04,011010101010111110,0
