Packet Num,Timestamp,Sensor Index,Sensor Bits
1,538.4777221679688,sensor_01,1010001011111110100
1,538.4777221679688,sensor_02,1111001101111110011
1,538.4777221679688,sensor_03,1001110101110000000
1,538.4777221679688,sensor_04,1001011011110110011
1,538.4777221679688,sensor_05,1110101100101001011
1,538.4777221679688,sensor_06,1110001110001000000
1,538.4777221679688,sensor_07,1001000111011011000
1,538.4777221679688,sensor_08,0101010010110011001
2,538.4778442382812,sensor_01,1011100000101111100
2,538.4778442382812,sensor_02,0011001110011111101
2,538.4778442382812,sensor_03,1101011000001010011
2,538.4778442382812,sensor_04,1011001101010010001
2,538.4778442382812,sensor_05,1110101100010111010
2,538.4778442382812,sensor_06,1101111011011010111
2,538.4778442382812,sensor_07,1100100001000111101
2,538.4778442382812,sensor_08,0011100101010000011
3,538.47802734375,sensor_01,1001110001100101110
3,538.47802734375,sensor_02,1001010000011111101
3,538.47802734375,sensor_03,0011110001101111101
3,538.47802734375,sensor_04,1101110110011101000
3,538.47802734375,sensor_05,1100011011111001000
3,538.47802734375,sensor_06,1100000111100110111
3,538.47802734375,sensor_07,1001110101000011001
3,538.47802734375,sensor_08,1001100110111011001
4,538.4782104492188,sensor_01,1110010101100110010
4,538.4782104492188,sensor_02,0001001101100110011
4,538.4782104492188,sensor_03,0000010101010010000
4,538.4782104492188,sensor_04,1001001001110000111
4,538.4782104492188,sensor_05,0010001001011011101
4,538.4782104492188,sensor_06,1011010101110110010
4,538.4782104492188,sensor_07,0000100100110111111
4,538.4782104492188,sensor_08,1010011100001100011
5,538.4783935546875,sensor_01,1101100000111101011
5,538.4783935546875,sensor_02,1011101111100001101
5,538.4783935546875,sensor_03,1011100100100100110
5,538.4783935546875,sensor_04,0011011100100010000
5,538.4783935546875,sensor_05,1100010110010110111
5,538.4783935546875,sensor_06,1000000101000010000
5,538.4783935546875,sensor_07,0001110100110000111
5,538.4783935546875,sensor_08,1111011000111011101
6,538.4785766601562,sensor_01,1010100010001110110
6,538.4785766601562,sensor_02,0000111010111000000
6,538.4785766601562,sensor_03,1011011100011010010
6,538.4785766601562,sensor_04,1010110000111100010
6,538.4785766601562,sensor_05,1001011111111011010
6,538.4785766601562,sensor_06,1010000011101100011
6,538.4785766601562,sensor_07,1010011100101000000
6,538.4785766601562,sensor_08,1111011010101001011
7,538.4786376953125,sensor_01,1110010010010101101
7,538.4786376953125,sensor_02,0110010110101101100
7,538.4786376953125,sensor_03,1110000111000000111
7,538.4786376953125,sensor_04,0010010010100010111
7,538.4786376953125,sensor_05,1000001111010101111
7,538.4786376953125,sensor_06,1011111010000110110
7,538.4786376953125,sensor_07,0011111111010001001
7,538.4786376953125,sensor_08,0011111111000010011
8,538.478759765625,sensor_01,1010011110011011100
8,538.478759765625,sensor_02,1011000011101100011
8,538.478759765625,sensor_03,1010111111010100100
8,538.478759765625,sensor_04,0010010011101011101
8,538.478759765625,sensor_05,0100111110111000011
8,538.478759765625,sensor_06,1010010100000000100
8,538.478759765625,sensor_07,0001101100100010111
8,538.478759765625,sensor_08,1011010011100001001
9,538.4788818359375,sensor_01,1000101000100111100
9,538.4788818359375,sensor_02,0000100000010101011
9,538.4788818359375,sensor_03,1101111001010010101
9,538.4788818359375,sensor_04,1111000111110111101
9,538.4788818359375,sensor_05,0010111101101110000
9,538.4788818359375,sensor_06,0000111001110101010
9,538.4788818359375,sensor_07,0111001110010111000
9,538.4788818359375,sensor_08,0011000110111111001
10,538.4790649414062,sensor_01,1001001111010011000
10,538.4790649414062,sensor_02,0100011000110110100
10,538.4790649414062,sensor_03,0011101000111100011
10,538.4790649414062,sensor_04,0001100010101001010
10,538.4790649414062,sensor_05,0110000010011100111
10,538.4790649414062,sensor_06,0011101101010100110
10,538.4790649414062,sensor_07,1000111011001100110
10,538.4790649414062,sensor_08,1111011101110100101
11,538.479248046875,sensor_01,1001110101001000011
11,538.479248046875,sensor_02,0101011011110001010
11,538.479248046875,sensor_03,1001010100110010001
11,538.479248046875,sensor_04,0000110011001101111
11,538.479248046875,sensor_05,0001111111110100011
11,538.479248046875,sensor_06,0010000111110011101
11,538.479248046875,sensor_07,0001101001010101001
11,538.479248046875,sensor_08,1110110011111111011
12,538.4794311523438,sensor_01,1100110110100110010
12,538.4794311523438,sensor_02,1100111100111000110
12,538.4794311523438,sensor_03,1110111010010000010
12,538.4794311523438,sensor_04,0001100110100110101
12,538.4794311523438,sensor_05,0110000110100010011
12,538.4794311523438,sensor_06,0101101100011110010
12,538.4794311523438,sensor_07,0110011010111011101
12,538.4794311523438,sensor_08,0001011100101101111
13,538.4795532226562,sensor_01,1001100101100011000
13,538.4795532226562,sensor_02,0011101011111011001
13,538.4795532226562,sensor_03,1001010110010100010
13,538.4795532226562,sensor_04,0100110101010011101
13,538.4795532226562,sensor_05,0011110110001001111
13,538.4795532226562,sensor_06,0001111001110110001
13,538.4795532226562,sensor_07,0101100101110010001
13,538.4795532226562,sensor_08,1011100110110011011
14,538.479736328125,sensor_01,1100111001111001000
14,538.479736328125,sensor_02,0010010010101100110
14,538.479736328125,sensor_03,1100010010101110110
14,538.479736328125,sensor_04,1010001011001011000
14,538.479736328125,sensor_05,1000011101110000000
14,538.479736328125,sensor_06,1111111111100111111
14,538.479736328125,sensor_07,1100111001001110001
14,538.479736328125,sensor_08,1111101010011100101
15,538.4798583984375,sensor_01,1001010101100110001
15,538.4798583984375,sensor_02,0110001101011010100
15,538.4798583984375,sensor_03,0000111010011100000
15,538.4798583984375,sensor_04,1000111000100110101
15,538.4798583984375,sensor_05,0011110010101101110
15,538.4798583984375,sensor_06,0110010110011111001
15,538.4798583984375,sensor_07,1111111011001001001
15,538.4798583984375,sensor_08,1001010001101111011
16,538.47998046875,sensor_01,1110011101000001001
16,538.47998046875,sensor_02,1010101110011000101
16,538.47998046875,sensor_03,1001011001000100001
16,538.47998046875,sensor_04,1010010000110110001
16,538.47998046875,sensor_05,1000000111111111101
16,538.47998046875,sensor_06,0111000101010110111
16,538.47998046875,sensor_07,0000001000010110010
16,538.47998046875,sensor_08,1000110000011000011
17,538.4800415039062,sensor_01,1101000011100000011
17,538.4800415039062,sensor_02,1010100010001111110
